title,price,url,date,text
Продаю тягач с полуприцепом Ивеко ЕВРОТЕХ 2001г.в.прицеп ШМИЦ,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_prodayu_tyagach_s_polupricepom_iveko_evroteh_2001gvpricep_shmic_275960,21      января,"Продаю тягач Ивеко евротех 2001г.в. двигатель курсор 10 с полуприцепом шмиц 1998г.в.,бортовой тент.ворота."
Гидравлика на тягач в СПб,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_zapchasti_gidravlika_na_tyagach_v_spb_449803,13      января,"ООО ""Гидротрак"" Гидрофицируем ваш тягач для работы с самосвальным полуприцепом!  Расположение бака сбоку на раму или за..."
Седельный тягач вездеход,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_sedelnyy_tyagach_vezdehod_6708179,12      января,"Седельный тягач вездеход КАМАЗ 53504-6030-50  Нагрузка на ССУ,12."
Магистральный седельный тягач,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_magistralnyy_sedelnyy_tyagach_6708139,12      января,"Магистральный седельный тягач Камского Завода 5490-032-87(S5) Нагрузка на ССУ,10."
Магистральный седельный тягач,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_magistralnyy_sedelnyy_tyagach_6706123,11      января,"Магистральный седельный тягач  Камского Завода 5490-032-87(S5)  Нагрузка на ССУ,10."
Магистральный седельный тягач,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_magistralnyy_sedelnyy_tyagach_6706107,11      января,"Магистральный седельный тягач АВТО Камского Завода 5490-032-87(S5)  Нагрузка на ССУ,1 0."
Седельный тягач вездеход,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_sedelnyy_tyagach_vezdehod_6705997,11      января,"Седельный тягач вездеход КАМАЗ 53504-6030-50  Нагрузка на ССУ,12."
Седельный тягач MAN TGS 26.440 и самосвальный полуприцеп Grunwald,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_sedelnyy_tyagach_MAN_TGS_26440_i_samosvalnyy_polupricep_Grunwald_6389359,24      декабря,Седельный тягач MAN TGS 26.440 BLS-WW L  - Год выпуска: 2017  - Пробег: 460 000 км.
"Полуприцеп самосвальный ИнтерПрицеп 853332, 2023",не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_polupricep_samosvalnyy_interpricep_853332_2023_7959314,"Сегодня,      16:05",...тягача 1150-1250 мм;    • Шины КАМА 385/65R22.
Гидрофикация Шахман,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_zapchasti_gidrofikaciya_shahman_6905716,"Сегодня,      09:15","Гидрофикация тягачей Shacman    В установочном центре ""ЭВЭН"" провели одновременную работу по гидрофикации тягачей Shacman."
Портовый контейнеровоз-опрокидыватель САЗ 850G0 для внутренних перевозок 20-футо,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_portovyy_konteynerovozoprokidyvatel_saz_850G0_dlya_vnutrennih_perevozok_20futo_7299789,"Сегодня,      09:08","...тягача, с быстроразъёмным соединением  Стальной надрамник-подъемная  самосвальная платформа, шарнирно  соединенный с рамой..."
Полуприцеп самосвальный ИнтерПрицеп 853342,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_polupricep_samosvalnyy_interpricep_853342_8081970,"Вчера,      09:42",...тягача 1150 мм;    • Шины 385/65R22.
Продам запчасти,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_prodam_zapchasti_7877959,17      июля,"Продал тягач. Остались запчасти, на Ивеко Стралис 13 курсор."
Здесь можно купить паспорт самоходной машины,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_zdes_mozhno_kupit_pasport_samohodnoy_mashiny_7907639,16      июля,"...тягачи, лесная, коммунальная, и строительная техника."
Scania p340 тягач,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_Scania_p340_tyagach_6651445,9      декабря,"Тягач 2005 года. Производство Нидерланды, тип в птс: тягач седельный.  Евро 3 pde. Коробка gr900.  Расход в норме."
Аренда прицепа. Прокат прицепа,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_autoraznoe_arenda_pricepa_prokat_pricepa_8110780,1      июля,"...тягача и водительское удостоверение. Сутки 800р, от 3 суток 600р. Если вам нужен прицеп бронируйте его заранее. Залог 5000р."
Фронтальный погрузчик YUGONG 930,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_frontalnyy_pogruzchik_YUGONG_930_8106908,29      июня,...тягачи  ===========================  Можем привезти любую технику из КНР под заказ.
Гусеничный плавающий транспортер-тягач (снегоболотоход) ГТ-ТР «Марал»,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_gusenichnyy_plavayuschiy_transportertyagach_snegobolotohod_gttr_maral_6527247,15      ноября,Гусеничный плавающий транспортер-тягач (снегоболотоход) ГТ-ТР «Марал» — представляет собой быстроходную плавающую машину...
Вездеход тягач,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_mototehnika_vezdehod_tyagach_6148276,8      ноября,"Вездеход МТ-ЛБ-1.0 ГТ-Т — гусеничный транспортёр-тягач сток.  С консервации, обслужен и подготовлен к эксплуатации."
